,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
69,xgboost_seed_16_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,16_skf_0,41,9,8,10,0.75,0.822,0.556,0.82,0.526,0.837,0.541,0.369
70,xgboost_seed_16_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,16_skf_1,39,11,6,12,0.75,0.819,0.667,0.78,0.522,0.867,0.585,0.417
71,xgboost_seed_16_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,16_skf_2,39,11,6,12,0.75,0.736,0.667,0.78,0.522,0.867,0.585,0.417
72,xgboost_seed_16_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,16_skf_3,39,11,6,12,0.75,0.84,0.667,0.78,0.522,0.867,0.585,0.417
73,xgboost_seed_17_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,17_skf_0,39,11,4,14,0.779,0.834,0.778,0.78,0.56,0.907,0.651,0.51
74,xgboost_seed_17_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,17_skf_1,39,11,6,12,0.75,0.808,0.667,0.78,0.522,0.867,0.585,0.417
75,xgboost_seed_17_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,17_skf_2,39,11,6,12,0.75,0.86,0.667,0.78,0.522,0.867,0.585,0.417
76,xgboost_seed_17_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,17_skf_3,38,12,6,12,0.735,0.729,0.667,0.76,0.5,0.864,0.571,0.394
77,xgboost_seed_17_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,17_skf_4,42,8,7,11,0.779,0.823,0.611,0.84,0.579,0.857,0.595,0.444
78,xgboost_seed_18_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,18_skf_0,41,9,7,11,0.765,0.808,0.611,0.82,0.55,0.854,0.579,0.417
79,xgboost_seed_18_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,18_skf_2,41,9,5,13,0.794,0.819,0.722,0.82,0.591,0.891,0.65,0.511
80,xgboost_seed_18_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,18_skf_4,39,11,5,13,0.765,0.732,0.722,0.78,0.542,0.886,0.619,0.464
81,xgboost_seed_19_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,19_skf_0,39,11,7,11,0.735,0.834,0.611,0.78,0.5,0.848,0.55,0.369
82,xgboost_seed_19_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,19_skf_1,39,11,5,13,0.765,0.833,0.722,0.78,0.542,0.886,0.619,0.464
83,xgboost_seed_19_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,19_skf_2,41,9,6,12,0.779,0.734,0.667,0.82,0.571,0.872,0.615,0.465
84,xgboost_seed_19_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,19_skf_3,38,12,4,14,0.765,0.804,0.778,0.76,0.538,0.905,0.636,0.488
