,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
173,rf_seed_17_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,17_skf_2,38,12,5,13,0.75,0.774,0.722,0.76,0.52,0.884,0.605,0.441
174,rf_seed_17_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,17_skf_3,43,7,9,9,0.765,0.759,0.5,0.86,0.562,0.827,0.529,0.374
175,rf_seed_17_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,17_skf_4,36,14,7,11,0.691,0.721,0.611,0.72,0.44,0.837,0.512,0.303
176,rf_seed_18_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,18_skf_0,40,10,6,12,0.765,0.747,0.667,0.8,0.545,0.87,0.6,0.44
177,rf_seed_18_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,18_skf_1,40,10,5,13,0.779,0.768,0.722,0.8,0.565,0.889,0.634,0.487
178,rf_seed_18_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,18_skf_2,40,10,7,11,0.75,0.733,0.611,0.8,0.524,0.851,0.564,0.393
179,rf_seed_18_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,18_skf_3,38,12,7,11,0.721,0.756,0.611,0.76,0.478,0.844,0.537,0.346
180,rf_seed_18_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,18_skf_4,33,17,5,13,0.676,0.713,0.722,0.66,0.433,0.868,0.542,0.34
181,rf_seed_19_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,19_skf_0,37,13,6,12,0.721,0.726,0.667,0.74,0.48,0.86,0.558,0.372
182,rf_seed_19_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,19_skf_1,39,11,7,11,0.735,0.737,0.611,0.78,0.5,0.848,0.55,0.369
183,rf_seed_19_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,19_skf_2,39,11,7,11,0.735,0.738,0.611,0.78,0.5,0.848,0.55,0.369
184,rf_seed_19_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,19_skf_3,37,13,4,14,0.75,0.769,0.778,0.74,0.519,0.902,0.622,0.467
185,rf_seed_19_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,19_skf_4,34,16,6,12,0.676,0.717,0.667,0.68,0.429,0.85,0.522,0.311
186,svm_seed_0_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,0_skf_0,48,2,14,4,0.765,0.818,0.222,0.96,0.667,0.774,0.333,0.283
187,svm_seed_0_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,0_skf_1,45,5,12,6,0.75,0.789,0.333,0.9,0.545,0.789,0.414,0.28
188,svm_seed_0_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,0_skf_3,45,5,13,5,0.735,0.773,0.278,0.9,0.5,0.776,0.357,0.221
189,svm_seed_1_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,1_skf_0,48,2,14,4,0.765,0.793,0.222,0.96,0.667,0.774,0.333,0.283
190,svm_seed_1_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,1_skf_1,46,4,14,4,0.735,0.78,0.222,0.92,0.5,0.767,0.308,0.195
191,svm_seed_1_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,1_skf_3,47,3,13,5,0.765,0.874,0.278,0.94,0.625,0.783,0.385,0.298
192,svm_seed_1_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,1_skf_4,45,5,13,5,0.735,0.748,0.278,0.9,0.5,0.776,0.357,0.221
193,svm_seed_2_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,2_skf_0,45,5,13,5,0.735,0.809,0.278,0.9,0.5,0.776,0.357,0.221
194,svm_seed_2_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,2_skf_1,47,3,14,4,0.75,0.748,0.222,0.94,0.571,0.77,0.32,0.236
195,svm_seed_2_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,2_skf_2,46,4,14,4,0.735,0.803,0.222,0.92,0.5,0.767,0.308,0.195
196,svm_seed_2_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,2_skf_3,49,1,15,3,0.765,0.808,0.167,0.98,0.75,0.766,0.273,0.275
197,svm_seed_2_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,2_skf_4,45,5,14,4,0.721,0.787,0.222,0.9,0.444,0.763,0.296,0.159
198,svm_seed_3_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,3_skf_0,47,3,15,3,0.735,0.797,0.167,0.94,0.5,0.758,0.25,0.166
199,svm_seed_3_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,3_skf_2,48,2,13,5,0.779,0.8,0.278,0.96,0.714,0.787,0.4,0.345
200,svm_seed_3_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,3_skf_3,45,5,14,4,0.721,0.818,0.222,0.9,0.444,0.763,0.296,0.159
201,svm_seed_3_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,3_skf_4,47,3,14,4,0.75,0.732,0.222,0.94,0.571,0.77,0.32,0.236
202,svm_seed_4_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,4_skf_1,46,4,13,5,0.75,0.807,0.278,0.92,0.556,0.78,0.37,0.257
203,svm_seed_4_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,4_skf_2,48,2,14,4,0.765,0.858,0.222,0.96,0.667,0.774,0.333,0.283
204,svm_seed_4_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,4_skf_3,47,3,12,6,0.779,0.791,0.333,0.94,0.667,0.797,0.444,0.356
205,svm_seed_5_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,5_skf_1,45,5,11,7,0.765,0.799,0.389,0.9,0.583,0.804,0.467,0.334
206,svm_seed_5_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,5_skf_2,47,3,15,3,0.735,0.803,0.167,0.94,0.5,0.758,0.25,0.166
207,svm_seed_5_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,5_skf_3,49,1,14,4,0.779,0.844,0.222,0.98,0.8,0.778,0.348,0.342
208,svm_seed_5_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,5_skf_4,45,5,13,5,0.735,0.793,0.278,0.9,0.5,0.776,0.357,0.221
209,svm_seed_6_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,6_skf_0,48,2,14,4,0.765,0.772,0.222,0.96,0.667,0.774,0.333,0.283
210,svm_seed_6_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,6_skf_3,46,4,14,4,0.735,0.779,0.222,0.92,0.5,0.767,0.308,0.195
211,svm_seed_6_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,6_skf_4,48,2,14,4,0.765,0.823,0.222,0.96,0.667,0.774,0.333,0.283
212,svm_seed_7_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,7_skf_0,45,5,14,4,0.721,0.79,0.222,0.9,0.444,0.763,0.296,0.159
213,svm_seed_7_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,7_skf_1,44,6,12,6,0.735,0.81,0.333,0.88,0.5,0.786,0.4,0.247
214,svm_seed_7_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,7_skf_2,47,3,15,3,0.735,0.782,0.167,0.94,0.5,0.758,0.25,0.166
215,svm_seed_7_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,7_skf_3,48,2,15,3,0.75,0.821,0.167,0.96,0.6,0.762,0.261,0.214
216,svm_seed_7_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,7_skf_4,47,3,14,4,0.75,0.774,0.222,0.94,0.571,0.77,0.32,0.236
217,svm_seed_8_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,8_skf_0,46,4,13,5,0.75,0.824,0.278,0.92,0.556,0.78,0.37,0.257
218,svm_seed_8_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,8_skf_1,46,4,10,8,0.794,0.778,0.444,0.92,0.667,0.821,0.533,0.422
219,svm_seed_8_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,8_skf_2,47,3,15,3,0.735,0.748,0.167,0.94,0.5,0.758,0.25,0.166
220,svm_seed_8_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,8_skf_4,46,4,14,4,0.735,0.752,0.222,0.92,0.5,0.767,0.308,0.195
221,svm_seed_9_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,9_skf_0,46,4,14,4,0.735,0.748,0.222,0.92,0.5,0.767,0.308,0.195
222,svm_seed_9_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,9_skf_1,45,5,13,5,0.735,0.812,0.278,0.9,0.5,0.776,0.357,0.221
223,svm_seed_9_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,9_skf_3,48,2,15,3,0.75,0.857,0.167,0.96,0.6,0.762,0.261,0.214
224,svm_seed_9_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,9_skf_4,45,5,13,5,0.735,0.766,0.278,0.9,0.5,0.776,0.357,0.221
225,svm_seed_10_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,10_skf_0,45,5,14,4,0.721,0.77,0.222,0.9,0.444,0.763,0.296,0.159
226,svm_seed_10_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,10_skf_2,47,3,15,3,0.735,0.768,0.167,0.94,0.5,0.758,0.25,0.166
227,svm_seed_10_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,10_skf_3,47,3,11,7,0.794,0.787,0.389,0.94,0.7,0.81,0.5,0.41
228,svm_seed_10_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,10_skf_4,46,4,14,4,0.735,0.831,0.222,0.92,0.5,0.767,0.308,0.195
229,svm_seed_11_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,11_skf_0,47,3,15,3,0.735,0.792,0.167,0.94,0.5,0.758,0.25,0.166
230,svm_seed_11_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,11_skf_2,47,3,13,5,0.765,0.819,0.278,0.94,0.625,0.783,0.385,0.298
231,svm_seed_11_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,11_skf_3,48,2,15,3,0.75,0.771,0.167,0.96,0.6,0.762,0.261,0.214
232,svm_seed_12_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,12_skf_0,47,3,15,3,0.735,0.794,0.167,0.94,0.5,0.758,0.25,0.166
233,svm_seed_12_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,12_skf_2,47,3,15,3,0.735,0.781,0.167,0.94,0.5,0.758,0.25,0.166
234,svm_seed_12_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,12_skf_3,45,5,14,4,0.721,0.81,0.222,0.9,0.444,0.763,0.296,0.159
235,svm_seed_12_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,12_skf_4,46,4,14,4,0.735,0.786,0.222,0.92,0.5,0.767,0.308,0.195
236,svm_seed_13_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,13_skf_0,45,5,13,5,0.735,0.807,0.278,0.9,0.5,0.776,0.357,0.221
237,svm_seed_13_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,13_skf_1,47,3,15,3,0.735,0.796,0.167,0.94,0.5,0.758,0.25,0.166
238,svm_seed_13_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,13_skf_2,47,3,15,3,0.735,0.796,0.167,0.94,0.5,0.758,0.25,0.166
239,svm_seed_13_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,13_skf_3,46,4,14,4,0.735,0.798,0.222,0.92,0.5,0.767,0.308,0.195
240,svm_seed_13_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,13_skf_4,45,5,13,5,0.735,0.773,0.278,0.9,0.5,0.776,0.357,0.221
241,svm_seed_14_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,14_skf_1,47,3,13,5,0.765,0.77,0.278,0.94,0.625,0.783,0.385,0.298
242,svm_seed_14_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,14_skf_2,47,3,15,3,0.735,0.803,0.167,0.94,0.5,0.758,0.25,0.166
243,svm_seed_14_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,14_skf_3,47,3,13,5,0.765,0.77,0.278,0.94,0.625,0.783,0.385,0.298
244,svm_seed_14_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,14_skf_4,47,3,14,4,0.75,0.81,0.222,0.94,0.571,0.77,0.32,0.236
245,svm_seed_15_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,15_skf_0,46,4,11,7,0.779,0.802,0.389,0.92,0.636,0.807,0.483,0.37
246,svm_seed_15_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,15_skf_1,45,5,14,4,0.721,0.754,0.222,0.9,0.444,0.763,0.296,0.159
247,svm_seed_15_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,15_skf_2,47,3,15,3,0.735,0.862,0.167,0.94,0.5,0.758,0.25,0.166
248,svm_seed_15_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,15_skf_4,46,4,14,4,0.735,0.781,0.222,0.92,0.5,0.767,0.308,0.195
249,svm_seed_16_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,16_skf_1,47,3,14,4,0.75,0.784,0.222,0.94,0.571,0.77,0.32,0.236
250,svm_seed_16_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,16_skf_2,45,5,14,4,0.721,0.806,0.222,0.9,0.444,0.763,0.296,0.159
251,svm_seed_16_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,16_skf_3,47,3,15,3,0.735,0.828,0.167,0.94,0.5,0.758,0.25,0.166
252,svm_seed_16_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,16_skf_4,48,2,11,7,0.809,0.811,0.389,0.96,0.778,0.814,0.519,0.454
253,svm_seed_17_skf_0_paras_19_kernel_rbf_C_1_gamma_1,svm,17_skf_0,45,5,14,4,0.721,0.829,0.222,0.9,0.444,0.763,0.296,0.159
254,svm_seed_17_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,17_skf_1,46,4,11,7,0.779,0.803,0.389,0.92,0.636,0.807,0.483,0.37
255,svm_seed_17_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,17_skf_2,48,2,14,4,0.765,0.786,0.222,0.96,0.667,0.774,0.333,0.283
256,svm_seed_17_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,17_skf_4,46,4,14,4,0.735,0.757,0.222,0.92,0.5,0.767,0.308,0.195
257,svm_seed_18_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,18_skf_1,45,5,13,5,0.735,0.793,0.278,0.9,0.5,0.776,0.357,0.221
258,svm_seed_18_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,18_skf_2,46,4,14,4,0.735,0.802,0.222,0.92,0.5,0.767,0.308,0.195
259,svm_seed_18_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,18_skf_3,47,3,14,4,0.75,0.794,0.222,0.94,0.571,0.77,0.32,0.236
260,svm_seed_18_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,18_skf_4,48,2,15,3,0.75,0.827,0.167,0.96,0.6,0.762,0.261,0.214
261,svm_seed_19_skf_1_paras_19_kernel_rbf_C_1_gamma_1,svm,19_skf_1,45,5,11,7,0.765,0.817,0.389,0.9,0.583,0.804,0.467,0.334
262,svm_seed_19_skf_2_paras_19_kernel_rbf_C_1_gamma_1,svm,19_skf_2,48,2,15,3,0.75,0.826,0.167,0.96,0.6,0.762,0.261,0.214
263,svm_seed_19_skf_3_paras_19_kernel_rbf_C_1_gamma_1,svm,19_skf_3,47,3,14,4,0.75,0.776,0.222,0.94,0.571,0.77,0.32,0.236
264,svm_seed_19_skf_4_paras_19_kernel_rbf_C_1_gamma_1,svm,19_skf_4,46,4,14,4,0.735,0.738,0.222,0.92,0.5,0.767,0.308,0.195
265,lr_seed_0_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,0_skf_0,38,12,9,9,0.691,0.739,0.5,0.76,0.429,0.809,0.462,0.248
266,lr_seed_0_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,0_skf_1,36,14,6,12,0.706,0.748,0.667,0.72,0.462,0.857,0.545,0.351
267,lr_seed_0_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,0_skf_2,34,16,4,14,0.706,0.736,0.778,0.68,0.467,0.895,0.583,0.407
268,lr_seed_0_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,0_skf_3,39,11,10,8,0.691,0.726,0.444,0.78,0.421,0.796,0.432,0.221
269,lr_seed_0_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,0_skf_4,39,11,9,9,0.706,0.676,0.5,0.78,0.45,0.812,0.474,0.271
270,lr_seed_1_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,1_skf_0,39,11,8,10,0.721,0.797,0.556,0.78,0.476,0.83,0.513,0.32
271,lr_seed_1_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,1_skf_1,36,14,8,10,0.676,0.721,0.556,0.72,0.417,0.818,0.476,0.254
272,lr_seed_1_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,1_skf_2,36,14,8,10,0.676,0.728,0.556,0.72,0.417,0.818,0.476,0.254
273,lr_seed_1_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,1_skf_3,35,15,6,12,0.691,0.793,0.667,0.7,0.444,0.854,0.533,0.331
274,lr_seed_1_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,1_skf_4,35,15,9,9,0.647,0.664,0.5,0.7,0.375,0.795,0.429,0.185
275,lr_seed_2_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,2_skf_0,36,14,10,8,0.647,0.721,0.444,0.72,0.364,0.783,0.4,0.155
276,lr_seed_2_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,2_skf_1,39,11,9,9,0.706,0.754,0.5,0.78,0.45,0.812,0.474,0.271
277,lr_seed_2_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,2_skf_2,40,10,8,10,0.735,0.748,0.556,0.8,0.5,0.833,0.526,0.344
278,lr_seed_2_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,2_skf_3,35,15,9,9,0.647,0.684,0.5,0.7,0.375,0.795,0.429,0.185
279,lr_seed_2_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,2_skf_4,39,11,6,12,0.75,0.812,0.667,0.78,0.522,0.867,0.585,0.417
280,lr_seed_3_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,3_skf_0,34,16,7,11,0.662,0.75,0.611,0.68,0.407,0.829,0.489,0.262
281,lr_seed_3_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,3_skf_2,36,14,4,14,0.735,0.812,0.778,0.72,0.5,0.9,0.609,0.446
282,lr_seed_3_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,3_skf_3,35,15,7,11,0.676,0.796,0.611,0.7,0.423,0.833,0.5,0.282
283,lr_seed_3_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,3_skf_4,37,13,7,11,0.706,0.751,0.611,0.74,0.458,0.841,0.524,0.324
284,lr_seed_4_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,4_skf_0,36,14,9,9,0.662,0.726,0.5,0.72,0.391,0.8,0.439,0.205
285,lr_seed_4_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,4_skf_1,37,13,10,8,0.662,0.737,0.444,0.74,0.381,0.787,0.41,0.176
286,lr_seed_4_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,4_skf_2,35,15,5,13,0.706,0.753,0.722,0.7,0.464,0.875,0.565,0.378
287,lr_seed_4_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,4_skf_3,41,9,8,10,0.75,0.789,0.556,0.82,0.526,0.837,0.541,0.369
288,lr_seed_4_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,4_skf_4,35,15,7,11,0.676,0.773,0.611,0.7,0.423,0.833,0.5,0.282
289,lr_seed_5_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,5_skf_0,34,16,8,10,0.647,0.659,0.556,0.68,0.385,0.81,0.455,0.214
290,lr_seed_5_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,5_skf_1,36,14,9,9,0.662,0.712,0.5,0.72,0.391,0.8,0.439,0.205
291,lr_seed_5_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,5_skf_2,38,12,8,10,0.706,0.742,0.556,0.76,0.455,0.826,0.5,0.298
292,lr_seed_5_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,5_skf_3,42,8,9,9,0.75,0.807,0.5,0.84,0.529,0.824,0.514,0.346
293,lr_seed_5_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,5_skf_4,36,14,6,12,0.706,0.768,0.667,0.72,0.462,0.857,0.545,0.351
294,lr_seed_6_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,6_skf_0,35,15,5,13,0.706,0.757,0.722,0.7,0.464,0.875,0.565,0.378
295,lr_seed_6_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,6_skf_1,38,12,10,8,0.676,0.718,0.444,0.76,0.4,0.792,0.421,0.198
296,lr_seed_6_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,6_skf_2,34,16,9,9,0.632,0.63,0.5,0.68,0.36,0.791,0.419,0.165
297,lr_seed_6_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,6_skf_3,41,9,8,10,0.75,0.75,0.556,0.82,0.526,0.837,0.541,0.369
298,lr_seed_6_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,6_skf_4,35,15,6,12,0.691,0.773,0.667,0.7,0.444,0.854,0.533,0.331
299,lr_seed_7_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,7_skf_0,38,12,8,10,0.706,0.72,0.556,0.76,0.455,0.826,0.5,0.298
300,lr_seed_7_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,7_skf_1,36,14,6,12,0.706,0.757,0.667,0.72,0.462,0.857,0.545,0.351
301,lr_seed_7_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,7_skf_2,35,15,7,11,0.676,0.753,0.611,0.7,0.423,0.833,0.5,0.282
302,lr_seed_7_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,7_skf_3,36,14,8,10,0.676,0.768,0.556,0.72,0.417,0.818,0.476,0.254
303,lr_seed_7_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,7_skf_4,37,13,9,9,0.676,0.766,0.5,0.74,0.409,0.804,0.45,0.226
304,lr_seed_8_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,8_skf_0,36,14,8,10,0.676,0.72,0.556,0.72,0.417,0.818,0.476,0.254
305,lr_seed_8_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,8_skf_1,36,14,6,12,0.706,0.781,0.667,0.72,0.462,0.857,0.545,0.351
306,lr_seed_8_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,8_skf_2,40,10,8,10,0.735,0.801,0.556,0.8,0.5,0.833,0.526,0.344
307,lr_seed_8_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,8_skf_3,37,13,6,12,0.721,0.801,0.667,0.74,0.48,0.86,0.558,0.372
308,lr_seed_9_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,9_skf_0,38,12,9,9,0.691,0.753,0.5,0.76,0.429,0.809,0.462,0.248
309,lr_seed_9_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,9_skf_1,37,13,7,11,0.706,0.76,0.611,0.74,0.458,0.841,0.524,0.324
310,lr_seed_9_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,9_skf_2,38,12,8,10,0.706,0.732,0.556,0.76,0.455,0.826,0.5,0.298
311,lr_seed_9_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,9_skf_3,37,13,6,12,0.721,0.782,0.667,0.74,0.48,0.86,0.558,0.372
312,lr_seed_9_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,9_skf_4,37,13,9,9,0.676,0.63,0.5,0.74,0.409,0.804,0.45,0.226
313,lr_seed_10_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,10_skf_0,37,13,8,10,0.691,0.75,0.556,0.74,0.435,0.822,0.488,0.276
314,lr_seed_10_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,10_skf_1,40,10,7,11,0.75,0.796,0.611,0.8,0.524,0.851,0.564,0.393
315,lr_seed_10_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,10_skf_2,36,14,8,10,0.676,0.726,0.556,0.72,0.417,0.818,0.476,0.254
316,lr_seed_10_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,10_skf_3,39,11,8,10,0.721,0.762,0.556,0.78,0.476,0.83,0.513,0.32
317,lr_seed_10_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,10_skf_4,35,15,6,12,0.691,0.738,0.667,0.7,0.444,0.854,0.533,0.331
318,lr_seed_11_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,11_skf_0,40,10,9,9,0.721,0.749,0.5,0.8,0.474,0.816,0.486,0.295
319,lr_seed_11_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,11_skf_1,41,9,10,8,0.721,0.743,0.444,0.82,0.471,0.804,0.457,0.269
320,lr_seed_11_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,11_skf_2,36,14,6,12,0.706,0.776,0.667,0.72,0.462,0.857,0.545,0.351
321,lr_seed_11_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,11_skf_3,35,15,7,11,0.676,0.787,0.611,0.7,0.423,0.833,0.5,0.282
322,lr_seed_11_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,11_skf_4,36,14,8,10,0.676,0.669,0.556,0.72,0.417,0.818,0.476,0.254
323,lr_seed_12_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,12_skf_0,40,10,9,9,0.721,0.773,0.5,0.8,0.474,0.816,0.486,0.295
324,lr_seed_12_skf_1_paras_22_C_100_weight_None_solver_lbfgs,lr,12_skf_1,37,13,9,9,0.676,0.66,0.5,0.74,0.409,0.804,0.45,0.226
325,lr_seed_12_skf_2_paras_22_C_100_weight_None_solver_lbfgs,lr,12_skf_2,37,13,7,11,0.706,0.742,0.611,0.74,0.458,0.841,0.524,0.324
326,lr_seed_12_skf_3_paras_22_C_100_weight_None_solver_lbfgs,lr,12_skf_3,35,15,6,12,0.691,0.733,0.667,0.7,0.444,0.854,0.533,0.331
327,lr_seed_12_skf_4_paras_22_C_100_weight_None_solver_lbfgs,lr,12_skf_4,37,13,8,10,0.691,0.767,0.556,0.74,0.435,0.822,0.488,0.276
328,lr_seed_13_skf_0_paras_22_C_100_weight_None_solver_lbfgs,lr,13_skf_0,34,16,6,12,0.676,0.76,0.667,0.68,0.429,0.85,0.522,0.311
