,0,1
23,rf_seed_4_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[97, 10, 7, 7, 0.859504132231405, 0.8911882510013351, 0.5, 0.9065420560747663, 0.4117647058823529, 0.9326923076923077, 0.45161290322580644, 0.37421419338129897]"
24,rf_seed_4_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[102, 5, 7, 7, 0.9008264462809917, 0.8958611481975968, 0.5, 0.9532710280373832, 0.5833333333333334, 0.9357798165137615, 0.5384615384615384, 0.48507623225521657]"
25,rf_seed_5_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[93, 14, 7, 7, 0.8264462809917356, 0.733644859813084, 0.5, 0.8691588785046729, 0.3333333333333333, 0.93, 0.4, 0.3117881299957241]"
26,rf_seed_5_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[104, 3, 9, 5, 0.9008264462809917, 0.8811748998664887, 0.35714285714285715, 0.9719626168224299, 0.625, 0.9203539823008849, 0.45454545454545453, 0.42364959674711067]"
27,rf_seed_5_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[98, 9, 8, 6, 0.859504132231405, 0.7843791722296395, 0.42857142857142855, 0.9158878504672897, 0.4, 0.9245283018867925, 0.4137931034482759, 0.33434530787134437]"
28,rf_seed_5_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[97, 10, 7, 7, 0.859504132231405, 0.8551401869158879, 0.5, 0.9065420560747663, 0.4117647058823529, 0.9326923076923077, 0.45161290322580644, 0.37421419338129897]"
29,rf_seed_5_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[89, 18, 7, 7, 0.7933884297520661, 0.8204272363150868, 0.5, 0.8317757009345794, 0.28, 0.9270833333333334, 0.358974358974359, 0.26211680233921636]"
30,rf_seed_6_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[91, 16, 9, 5, 0.7933884297520661, 0.807743658210948, 0.35714285714285715, 0.8504672897196262, 0.23809523809523808, 0.91, 0.2857142857142857, 0.1753455848619714]"
31,rf_seed_6_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[98, 9, 9, 5, 0.8512396694214877, 0.8057409879839786, 0.35714285714285715, 0.9158878504672897, 0.35714285714285715, 0.9158878504672897, 0.35714285714285715, 0.27303070761014686]"
32,rf_seed_6_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[96, 11, 7, 7, 0.8512396694214877, 0.8491321762349799, 0.5, 0.897196261682243, 0.3888888888888889, 0.9320388349514563, 0.43750000000000006, 0.3570312201748978]"
