,0,1
22,rf_seed_4_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[219, 26, 10, 23, 0.8705035971223022, 0.9083487940630798, 0.696969696969697, 0.8938775510204081, 0.46938775510204084, 0.9563318777292577, 0.5609756097560976, 0.5015329236189093]"
23,rf_seed_4_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 20, 8, 25, 0.8992805755395683, 0.9212121212121213, 0.7575757575757576, 0.9183673469387755, 0.5555555555555556, 0.9656652360515021, 0.6410256410256411, 0.5935617912369335]"
24,rf_seed_4_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 20, 9, 23, 0.8953068592057761, 0.875, 0.71875, 0.9183673469387755, 0.5348837209302325, 0.9615384615384616, 0.6133333333333333, 0.5623870409744619]"
25,rf_seed_5_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[217, 29, 10, 23, 0.8602150537634409, 0.8787878787878789, 0.696969696969697, 0.8821138211382114, 0.4423076923076923, 0.9559471365638766, 0.5411764705882354, 0.48023203496477734]"
26,rf_seed_5_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[214, 31, 5, 28, 0.8705035971223022, 0.9367965367965368, 0.8484848484848485, 0.8734693877551021, 0.4745762711864407, 0.9771689497716894, 0.6086956521739131, 0.5710861370860569]"
27,rf_seed_5_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[228, 17, 10, 23, 0.9028776978417267, 0.8787878787878789, 0.696969696969697, 0.9306122448979591, 0.575, 0.957983193277311, 0.6301369863013698, 0.5783516468549208]"
28,rf_seed_5_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 20, 12, 21, 0.8848920863309353, 0.8883116883116883, 0.6363636363636364, 0.9183673469387755, 0.5121951219512195, 0.9493670886075949, 0.5675675675675675, 0.5060067775420859]"
29,rf_seed_5_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[218, 27, 3, 29, 0.8916967509025271, 0.9580357142857142, 0.90625, 0.889795918367347, 0.5178571428571429, 0.9864253393665159, 0.6590909090909092, 0.6335866252362795]"
30,rf_seed_6_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[217, 29, 10, 23, 0.8602150537634409, 0.914880512441488, 0.696969696969697, 0.8821138211382114, 0.4423076923076923, 0.9559471365638766, 0.5411764705882354, 0.48023203496477734]"
31,rf_seed_6_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[218, 27, 9, 24, 0.8705035971223022, 0.9021645021645021, 0.7272727272727273, 0.889795918367347, 0.47058823529411764, 0.960352422907489, 0.5714285714285714, 0.5156742850944844]"
32,rf_seed_6_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[222, 23, 12, 21, 0.8741007194244604, 0.8549165120593691, 0.6363636363636364, 0.9061224489795918, 0.4772727272727273, 0.9487179487179487, 0.5454545454545454, 0.48072238788192223]"
33,rf_seed_6_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[223, 22, 7, 26, 0.89568345323741, 0.9198515769944342, 0.7878787878787878, 0.9102040816326531, 0.5416666666666666, 0.9695652173913043, 0.6419753086419753, 0.5973962006984382]"
34,rf_seed_6_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[229, 16, 12, 20, 0.8989169675090253, 0.8764030612244899, 0.625, 0.9346938775510204, 0.5555555555555556, 0.950207468879668, 0.5882352941176471, 0.5320455509334533]"
35,rf_seed_7_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[225, 21, 8, 25, 0.8960573476702509, 0.8824833702882483, 0.7575757575757576, 0.9146341463414634, 0.5434782608695652, 0.9656652360515021, 0.6329113924050633, 0.5850224791795514]"
36,rf_seed_7_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[229, 16, 16, 17, 0.8848920863309353, 0.88286951144094, 0.5151515151515151, 0.9346938775510204, 0.5151515151515151, 0.9346938775510204, 0.5151515151515151, 0.44984539270253554]"
37,rf_seed_7_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[212, 33, 9, 24, 0.8489208633093526, 0.88286951144094, 0.7272727272727273, 0.8653061224489796, 0.42105263157894735, 0.9592760180995475, 0.5333333333333333, 0.47473646767727096]"
38,rf_seed_7_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,"[214, 31, 5, 28, 0.8705035971223022, 0.9560915275200991, 0.8484848484848485, 0.8734693877551021, 0.4745762711864407, 0.9771689497716894, 0.6086956521739131, 0.5710861370860569]"
