,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
408,knn_seed_11_skf_4_paras_0_K_3,knn,11_skf_4,612,69,81,156,0.837,0.851,0.658,0.899,0.693,0.883,0.675,0.567
409,knn_seed_12_skf_0_paras_0_K_3,knn,12_skf_0,620,61,77,160,0.85,0.852,0.675,0.91,0.724,0.89,0.699,0.599
410,knn_seed_12_skf_1_paras_0_K_3,knn,12_skf_1,617,64,78,159,0.845,0.849,0.671,0.906,0.713,0.888,0.691,0.589
411,knn_seed_12_skf_2_paras_0_K_3,knn,12_skf_2,615,66,79,158,0.842,0.859,0.667,0.903,0.705,0.886,0.685,0.581
412,knn_seed_12_skf_3_paras_0_K_3,knn,12_skf_3,610,71,75,162,0.841,0.85,0.684,0.896,0.695,0.891,0.689,0.583
413,knn_seed_12_skf_4_paras_0_K_3,knn,12_skf_4,618,63,75,162,0.85,0.87,0.684,0.907,0.72,0.892,0.701,0.601
414,knn_seed_13_skf_0_paras_0_K_3,knn,13_skf_0,619,62,79,158,0.846,0.862,0.667,0.909,0.718,0.887,0.691,0.59
415,knn_seed_13_skf_1_paras_0_K_3,knn,13_skf_1,620,61,73,164,0.854,0.863,0.692,0.91,0.729,0.895,0.71,0.613
416,knn_seed_13_skf_2_paras_0_K_3,knn,13_skf_2,616,65,76,161,0.846,0.85,0.679,0.905,0.712,0.89,0.695,0.593
417,knn_seed_13_skf_3_paras_0_K_3,knn,13_skf_3,628,53,77,160,0.858,0.872,0.675,0.922,0.751,0.891,0.711,0.619
418,knn_seed_13_skf_4_paras_0_K_3,knn,13_skf_4,611,70,77,160,0.84,0.838,0.675,0.897,0.696,0.888,0.685,0.578
419,knn_seed_14_skf_0_paras_0_K_3,knn,14_skf_0,615,66,78,159,0.843,0.86,0.671,0.903,0.707,0.887,0.688,0.584
420,knn_seed_14_skf_1_paras_0_K_3,knn,14_skf_1,617,64,74,163,0.85,0.861,0.688,0.906,0.718,0.893,0.703,0.602
421,knn_seed_14_skf_2_paras_0_K_3,knn,14_skf_2,622,59,72,165,0.857,0.868,0.696,0.913,0.737,0.896,0.716,0.621
422,knn_seed_14_skf_3_paras_0_K_3,knn,14_skf_3,617,64,82,155,0.841,0.849,0.654,0.906,0.708,0.883,0.68,0.575
423,knn_seed_14_skf_4_paras_0_K_3,knn,14_skf_4,615,66,74,163,0.847,0.861,0.688,0.903,0.712,0.893,0.7,0.598
424,knn_seed_15_skf_0_paras_0_K_3,knn,15_skf_0,621,60,74,163,0.854,0.858,0.688,0.912,0.731,0.894,0.709,0.612
425,knn_seed_15_skf_1_paras_0_K_3,knn,15_skf_1,621,60,78,159,0.85,0.853,0.671,0.912,0.726,0.888,0.697,0.598
426,knn_seed_15_skf_2_paras_0_K_3,knn,15_skf_2,621,60,76,161,0.852,0.855,0.679,0.912,0.729,0.891,0.703,0.605
427,knn_seed_15_skf_3_paras_0_K_3,knn,15_skf_3,619,62,79,158,0.846,0.856,0.667,0.909,0.718,0.887,0.691,0.59
428,knn_seed_15_skf_4_paras_0_K_3,knn,15_skf_4,612,69,76,161,0.842,0.85,0.679,0.899,0.7,0.89,0.69,0.584
429,knn_seed_16_skf_0_paras_0_K_3,knn,16_skf_0,615,66,76,161,0.845,0.86,0.679,0.903,0.709,0.89,0.694,0.591
430,knn_seed_16_skf_1_paras_0_K_3,knn,16_skf_1,620,61,72,165,0.855,0.861,0.696,0.91,0.73,0.896,0.713,0.616
431,knn_seed_16_skf_2_paras_0_K_3,knn,16_skf_2,606,75,71,166,0.841,0.849,0.7,0.89,0.689,0.895,0.695,0.587
432,knn_seed_16_skf_3_paras_0_K_3,knn,16_skf_3,628,53,80,157,0.855,0.851,0.662,0.922,0.748,0.887,0.702,0.609
433,knn_seed_16_skf_4_paras_0_K_3,knn,16_skf_4,619,62,80,157,0.845,0.847,0.662,0.909,0.717,0.886,0.689,0.587
434,knn_seed_17_skf_0_paras_0_K_3,knn,17_skf_0,623,58,85,152,0.844,0.856,0.641,0.915,0.724,0.88,0.68,0.579
435,knn_seed_17_skf_1_paras_0_K_3,knn,17_skf_1,626,55,79,158,0.854,0.861,0.667,0.919,0.742,0.888,0.702,0.607
436,knn_seed_17_skf_2_paras_0_K_3,knn,17_skf_2,613,68,73,164,0.846,0.85,0.692,0.9,0.707,0.894,0.699,0.596
437,knn_seed_17_skf_3_paras_0_K_3,knn,17_skf_3,608,73,77,160,0.837,0.849,0.675,0.893,0.687,0.888,0.681,0.571
438,knn_seed_17_skf_4_paras_0_K_3,knn,17_skf_4,620,61,70,167,0.857,0.858,0.705,0.91,0.732,0.899,0.718,0.623
439,knn_seed_18_skf_0_paras_0_K_3,knn,18_skf_0,616,65,80,157,0.842,0.861,0.662,0.905,0.707,0.885,0.684,0.579
440,knn_seed_18_skf_1_paras_0_K_3,knn,18_skf_1,607,74,78,159,0.834,0.847,0.671,0.891,0.682,0.886,0.677,0.565
441,knn_seed_18_skf_2_paras_0_K_3,knn,18_skf_2,618,63,78,159,0.846,0.855,0.671,0.907,0.716,0.888,0.693,0.591
442,knn_seed_18_skf_3_paras_0_K_3,knn,18_skf_3,622,59,82,155,0.846,0.853,0.654,0.913,0.724,0.884,0.687,0.587
443,knn_seed_18_skf_4_paras_0_K_3,knn,18_skf_4,620,61,77,160,0.85,0.86,0.675,0.91,0.724,0.89,0.699,0.599
444,knn_seed_19_skf_0_paras_0_K_3,knn,19_skf_0,616,65,76,161,0.846,0.855,0.679,0.905,0.712,0.89,0.695,0.593
445,knn_seed_19_skf_1_paras_0_K_3,knn,19_skf_1,626,55,78,159,0.855,0.854,0.671,0.919,0.743,0.889,0.705,0.611
446,knn_seed_19_skf_2_paras_0_K_3,knn,19_skf_2,613,68,80,157,0.839,0.868,0.662,0.9,0.698,0.885,0.68,0.572
447,knn_seed_19_skf_3_paras_0_K_3,knn,19_skf_3,615,66,68,169,0.854,0.861,0.713,0.903,0.719,0.9,0.716,0.618
448,knn_seed_19_skf_4_paras_0_K_3,knn,19_skf_4,624,57,79,158,0.852,0.846,0.667,0.916,0.735,0.888,0.699,0.602
