2026-02-04 14:09:40,548|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2026-02-04 14:09:44,273|INFO|nn.computeOptunaObjective|Trial 8 objective:|0.5378237164925034
2026-02-04 14:09:44,546|INFO|nn.computeOptunaObjective|Trial 9 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:44,546|INFO|nn.computeOptunaObjective|Trial 9 balacc:|[0.5090867787369378]
2026-02-04 14:09:44,546|INFO|nn.computeOptunaObjective|Trial 9 rocauc:|[0.7045661063153111]
2026-02-04 14:09:44,547|INFO|nn.computeOptunaObjective|Trial 9 timings:|0.2735601249987667
2026-02-04 14:09:44,547|INFO|nn.computeOptunaObjective|Trial 9 objective:|0.5090867787369378
2026-02-04 14:09:44,853|INFO|nn.computeOptunaObjective|Trial 10 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 100}
2026-02-04 14:09:44,853|INFO|nn.computeOptunaObjective|Trial 10 balacc:|[0.5]
2026-02-04 14:09:44,853|INFO|nn.computeOptunaObjective|Trial 10 rocauc:|[0.7009313948205361]
2026-02-04 14:09:44,853|INFO|nn.computeOptunaObjective|Trial 10 timings:|0.3060250000016822
2026-02-04 14:09:44,853|INFO|nn.computeOptunaObjective|Trial 10 objective:|0.5
2026-02-04 14:09:44,998|INFO|nn.computeOptunaObjective|Trial 11 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:44,998|INFO|nn.computeOptunaObjective|Trial 11 balacc:|[0.5216946842344389]
2026-02-04 14:09:44,998|INFO|nn.computeOptunaObjective|Trial 11 rocauc:|[0.7067242162653339]
2026-02-04 14:09:44,998|INFO|nn.computeOptunaObjective|Trial 11 timings:|0.14496562500062282
2026-02-04 14:09:44,998|INFO|nn.computeOptunaObjective|Trial 11 objective:|0.5216946842344389
2026-02-04 14:09:45,269|INFO|nn.computeOptunaObjective|Trial 12 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:45,269|INFO|nn.computeOptunaObjective|Trial 12 balacc:|[0.5126079054975011]
2026-02-04 14:09:45,269|INFO|nn.computeOptunaObjective|Trial 12 rocauc:|[0.700590640617901]
2026-02-04 14:09:45,269|INFO|nn.computeOptunaObjective|Trial 12 timings:|0.2701250419995631
2026-02-04 14:09:45,269|INFO|nn.computeOptunaObjective|Trial 12 objective:|0.5126079054975011
2026-02-04 14:09:45,557|INFO|nn.computeOptunaObjective|Trial 13 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:45,557|INFO|nn.computeOptunaObjective|Trial 13 balacc:|[0.5090867787369378]
2026-02-04 14:09:45,557|INFO|nn.computeOptunaObjective|Trial 13 rocauc:|[0.7063834620626988]
2026-02-04 14:09:45,557|INFO|nn.computeOptunaObjective|Trial 13 timings:|0.2879099169986148
2026-02-04 14:09:45,557|INFO|nn.computeOptunaObjective|Trial 13 objective:|0.5090867787369378
2026-02-04 14:09:45,722|INFO|nn.computeOptunaObjective|Trial 14 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:45,722|INFO|nn.computeOptunaObjective|Trial 14 balacc:|[0.5108473421172195]
2026-02-04 14:09:45,722|INFO|nn.computeOptunaObjective|Trial 14 rocauc:|[0.7119491140390731]
2026-02-04 14:09:45,722|INFO|nn.computeOptunaObjective|Trial 14 timings:|0.16423808300169185
2026-02-04 14:09:45,722|INFO|nn.computeOptunaObjective|Trial 14 objective:|0.5108473421172195
2026-02-04 14:09:46,156|INFO|nn.computeOptunaObjective|Trial 15 params:|{'n_layers': 4, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 200}
2026-02-04 14:09:46,156|INFO|nn.computeOptunaObjective|Trial 15 balacc:|[0.5360631531122217]
2026-02-04 14:09:46,156|INFO|nn.computeOptunaObjective|Trial 15 rocauc:|[0.7141640163562017]
2026-02-04 14:09:46,156|INFO|nn.computeOptunaObjective|Trial 15 timings:|0.4334164169995347
2026-02-04 14:09:46,156|INFO|nn.computeOptunaObjective|Trial 15 objective:|0.5360631531122217
2026-02-04 14:09:46,415|INFO|nn.computeOptunaObjective|Trial 16 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:46,415|INFO|nn.computeOptunaObjective|Trial 16 balacc:|[0.502044525215811]
2026-02-04 14:09:46,415|INFO|nn.computeOptunaObjective|Trial 16 rocauc:|[0.6950249886415266]
2026-02-04 14:09:46,415|INFO|nn.computeOptunaObjective|Trial 16 timings:|0.25896866699986276
2026-02-04 14:09:46,415|INFO|nn.computeOptunaObjective|Trial 16 objective:|0.502044525215811
2026-02-04 14:09:46,778|INFO|nn.computeOptunaObjective|Trial 17 params:|{'n_layers': 3, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:46,778|INFO|nn.computeOptunaObjective|Trial 17 balacc:|[0.5073262153566561]
2026-02-04 14:09:46,778|INFO|nn.computeOptunaObjective|Trial 17 rocauc:|[0.710358927760109]
2026-02-04 14:09:46,778|INFO|nn.computeOptunaObjective|Trial 17 timings:|0.36257504199966206
2026-02-04 14:09:46,778|INFO|nn.computeOptunaObjective|Trial 17 objective:|0.5073262153566561
2026-02-04 14:09:47,219|INFO|nn.computeOptunaObjective|Trial 18 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 150}
2026-02-04 14:09:47,219|INFO|nn.computeOptunaObjective|Trial 18 balacc:|[0.5038050885960927]
2026-02-04 14:09:47,219|INFO|nn.computeOptunaObjective|Trial 18 rocauc:|[0.711267605633803]
2026-02-04 14:09:47,219|INFO|nn.computeOptunaObjective|Trial 18 timings:|0.4398931249997986
2026-02-04 14:09:47,219|INFO|nn.computeOptunaObjective|Trial 18 objective:|0.5038050885960927
2026-02-04 14:09:47,551|INFO|nn.computeOptunaObjective|Trial 19 params:|{'n_layers': 4, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:47,551|INFO|nn.computeOptunaObjective|Trial 19 balacc:|[0.5126079054975011]
2026-02-04 14:09:47,551|INFO|nn.computeOptunaObjective|Trial 19 rocauc:|[0.7089959109495684]
2026-02-04 14:09:47,551|INFO|nn.computeOptunaObjective|Trial 19 timings:|0.331922500001383
2026-02-04 14:09:47,551|INFO|nn.computeOptunaObjective|Trial 19 objective:|0.5126079054975011
2026-02-04 14:09:47,876|INFO|nn.computeOptunaObjective|Trial 20 params:|{'n_layers': 3, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 200}
2026-02-04 14:09:47,876|INFO|nn.computeOptunaObjective|Trial 20 balacc:|[0.5128918673330305]
2026-02-04 14:09:47,876|INFO|nn.computeOptunaObjective|Trial 20 rocauc:|[0.7008178100863244]
