,0,1
24,lr_seed_4_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[185, 11, 15, 11, 0.8828828828828829, 0.885989010989011, 0.4230769230769231, 0.9438775510204082, 0.5, 0.925, 0.4583333333333333, 0.3949122073212802]"
25,lr_seed_5_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[181, 16, 9, 17, 0.8878923766816144, 0.8401015228426396, 0.6538461538461539, 0.9187817258883249, 0.5151515151515151, 0.9526315789473684, 0.576271186440678, 0.5175573797652564]"
26,lr_seed_5_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[188, 9, 16, 10, 0.8878923766816144, 0.8588442014837954, 0.38461538461538464, 0.9543147208121827, 0.5263157894736842, 0.9215686274509803, 0.4444444444444444, 0.3896171359779253]"
27,lr_seed_5_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[187, 9, 9, 17, 0.918918918918919, 0.9377943485086342, 0.6538461538461539, 0.9540816326530612, 0.6538461538461539, 0.9540816326530612, 0.6538461538461539, 0.6079277864992151]"
28,lr_seed_5_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[183, 13, 18, 8, 0.8603603603603603, 0.8290816326530612, 0.3076923076923077, 0.9336734693877551, 0.38095238095238093, 0.9104477611940298, 0.3404255319148936, 0.2652056216417918]"
29,lr_seed_5_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[185, 11, 13, 13, 0.8918918918918919, 0.8468406593406593, 0.5, 0.9438775510204082, 0.5416666666666666, 0.9343434343434344, 0.52, 0.45966313523855784]"
30,lr_seed_6_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[190, 7, 10, 16, 0.9237668161434978, 0.9057008980866847, 0.6153846153846154, 0.9644670050761421, 0.6956521739130435, 0.95, 0.6530612244897959, 0.6118680080683163]"
31,lr_seed_6_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[184, 13, 17, 9, 0.8654708520179372, 0.802030456852792, 0.34615384615384615, 0.934010152284264, 0.4090909090909091, 0.9154228855721394, 0.37500000000000006, 0.30152459644467394]"
32,lr_seed_6_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[181, 15, 12, 14, 0.8783783783783784, 0.873430141287284, 0.5384615384615384, 0.923469387755102, 0.4827586206896552, 0.9378238341968912, 0.509090909090909, 0.44077209863625755]"
33,lr_seed_6_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[182, 14, 8, 18, 0.9009009009009009, 0.8979591836734695, 0.6923076923076923, 0.9285714285714286, 0.5625, 0.9578947368421052, 0.6206896551724138, 0.5684208183385332]"
34,lr_seed_6_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[182, 14, 11, 15, 0.8873873873873874, 0.8879513343799057, 0.5769230769230769, 0.9285714285714286, 0.5172413793103449, 0.9430051813471503, 0.5454545454545454, 0.48234024047875934]"
35,lr_seed_7_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[186, 11, 12, 14, 0.8968609865470852, 0.8496680983990629, 0.5384615384615384, 0.9441624365482234, 0.56, 0.9393939393939394, 0.5490196078431373, 0.4909373566210735]"
36,lr_seed_7_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[183, 14, 9, 17, 0.8968609865470852, 0.9199531433033972, 0.6538461538461539, 0.9289340101522843, 0.5483870967741935, 0.953125, 0.5964912280701755, 0.5406212186043617]"
37,lr_seed_7_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[180, 16, 10, 16, 0.8828828828828829, 0.8689167974882261, 0.6153846153846154, 0.9183673469387755, 0.5, 0.9473684210526315, 0.5517241379310345, 0.48865506506978834]"
38,lr_seed_7_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[186, 10, 16, 10, 0.8828828828828829, 0.8459576138147566, 0.38461538461538464, 0.9489795918367347, 0.5, 0.9207920792079208, 0.4347826086956522, 0.3746653490177664]"
39,lr_seed_7_skf_4_paras_22_C_100_weight_None_solver_lbfgs,"[182, 14, 13, 13, 0.8783783783783784, 0.8394819466248038, 0.5, 0.9285714285714286, 0.48148148148148145, 0.9333333333333333, 0.49056603773584906, 0.42163702135578396]"
40,lr_seed_8_skf_0_paras_22_C_100_weight_None_solver_lbfgs,"[186, 11, 10, 16, 0.905829596412556, 0.9236626317844593, 0.6153846153846154, 0.9441624365482234, 0.5925925925925926, 0.9489795918367347, 0.6037735849056604, 0.5504862570548494]"
41,lr_seed_8_skf_1_paras_22_C_100_weight_None_solver_lbfgs,"[186, 11, 13, 13, 0.8923766816143498, 0.823799297149551, 0.5, 0.9441624365482234, 0.5416666666666666, 0.9346733668341709, 0.52, 0.45996994456724494]"
42,lr_seed_8_skf_2_paras_22_C_100_weight_None_solver_lbfgs,"[182, 14, 12, 14, 0.8828828828828829, 0.8667582417582418, 0.5384615384615384, 0.9285714285714286, 0.5, 0.9381443298969072, 0.5185185185185186, 0.4523580952966617]"
43,lr_seed_8_skf_3_paras_22_C_100_weight_None_solver_lbfgs,"[180, 16, 9, 17, 0.8873873873873874, 0.9203296703296704, 0.6538461538461539, 0.9183673469387755, 0.5151515151515151, 0.9523809523809523, 0.576271186440678, 0.5172314665383086]"
